latitud,longitud,coordenadas,canton,sitio,motivo,poblacion,tipo
10.01801,-84.21648,"(10.01801 , -84.21648)",Alajuela,"Esquina Sureste de la Iglesia del Corazón de Jesús, Alajuela Centro",Trabajo sexual,HSH y trans femeninas,sitio externo
10.016787,-84.213914,"(10.016787 , -84.213914)",Alajuela,Parque Central de Alajuela,"Trabajo sexual, encuentro y ligue",HSH ,sitio externo
10.020168,-84.214064,"(10.020168 , -84.214064)",Alajuela,"Parque de las Palmas, costado sur del hospital viejo",Encuentro y ligue,HSH,sitio externo
10.00602,-84.21274,"(10.00602 , -84.21274)",Alajuela,Mall Internacional,Encuentro y ligue,HSH,sitio externo
9.98512,-84.19554,"(9.98512 , -84.19554)",Alajuela,Ojo de Agua,Encuentro y ligue,HSH,sitio externo
10.001528,-84.11759,"(10.001528 , -84.11759)",Heredia,"Costado Oeste del Colegio Técnico Profesional, Heredia Centro",Trabajo sexual,Trans femeninas,sitio externo
9.998438,-84.117152,"(9.998438 , -84.117152)",Heredia,Parque Central de Heredia,"Trabajo sexual, encuentro y ligue",HSH,sitio externo
9.99943,-84.11494,"(9.99943 , -84.11494)",Heredia,Inmediaciones del ICE en Heredia Centro,Trabajo sexual,HSH,sitio externo
9.998952,-84.11161,"(9.998952 , -84.11161)",Heredia,"Universidad Nacional, Plaza de la Diversidad, Biblioteca y Comedor Universitario",Encuentro y ligue,HSH y Trans,sitio externo
9.996179,-84.1119,"(9.996179 , -84.1119)",Heredia,Inmediaciones de Plaza Heredia,Encuentro y ligue,HSH,sitio externo
9.98495,-84.11132,"(9.98495 , -84.11132)",Heredia,Mall Paseo de las Flores,Encuentro y ligue,HSH,sitio externo
9.99961,-84.12209,"(9.99961 , -84.12209)",Heredia,Palacio de los deportes,Encuentro y ligue,HSH ,sitio externo
9.935734,-84.103678,"(9.935734 , -84.103678)",San José,Parque Metropolitano la Sabana,"Trabajo sexual, encuentro y ligue",HSH y Trans femeninas,sitio externo
9.93335,-84.0845,"(9.93335 , -84.0845)",San José,Parque de la Merced,Trabajo sexual,HSH,sitio externo
9.93284,-84.07957,"(9.93284 , -84.07957)",San José,Parque Central de San José,"Trabajo sexual, encuentro y ligue",HSH,sitio externo
9.93355,-84.07699,"(9.93355 , -84.07699)",San José,Plaza de la Cultura,Encuentro y ligue,HSH y Trans,sitio externo
9.9356,-84.07534,"(9.9356 , -84.07534)",San José,Zona de parque  Morazán,"Trabajo sexual, encuentro y ligue",HSH y trans femeninas,sitio externo
9.9359,-84.07368,"(9.9359 , -84.07368)",San José,Zona de parque España,"Trabajo sexual, encuentro y ligue",HSH y trans femeninas,sitio externo
9.93454,-84.07083,"(9.93454 , -84.07083)",San José,Zona de parque Nacional,"Trabajo sexual, encuentro y ligue",HSH y trans femeninas,sitio externo
9.927243,-84.078099,"(9.927243 , -84.078099)",San José,"MOPT, Plaza Víquez",Trabajo sexual,Trans femeninas,sitio externo
9.93387,-84.05665,"(9.93387 , -84.05665)",San José,Mall San Pedro,Encuentro y ligue,HSH,sitio externo
9.93191,-84.05231,"(9.93191 , -84.05231)",San José,Outlet Mall,"Trabajo sexual, encuentro y ligue",HSH,sitio externo
9.93378,-84.07486,"(9.93378 , -84.07486)",San José,Plaza Avenida,"Trabajo sexual, encuentro y ligue",HSH y trans femeninas,sitio externo
9.937275,-84.050897,"(9.937275 , -84.050897)",San José,Universidad de Costa Rica,Encuentro y ligue,HSH,sitio externo
9.937206,-84.074715,"(9.937206 , -84.074715)",San José,"Barrio Amón, San José Centro",Trabajo sexual,Trans femeninas,sitio externo
9.93281,-84.07234,"(9.93281 , -84.07234)",San José,Plaza de la Democracia,Trabajo sexual,Trans femeninas,sitio externo
9.868255,-83.92247,"(9.868255 , -83.92247)",Cartago,Inmediaciones de LUMACA,Trabajo sexual,Trans femeninas,sitio externo
9.864336,-83.917638,"(9.864336 , -83.917638)",Cartago,"Zona del Banco de Costa Rica, cerca de los tribunales",Trabajo sexual,Trans femeninas,sitio externo
9.864255,-83.920732,"(9.864255 , -83.920732)",Cartago,Parque de las Ruinas,Encuentro y ligue,HSH,sitio externo
9.86715,-83.94261,"(9.86715 , -83.94261)",Cartago,Metrocentro,Encuentro y ligue,HSH,sitio externo
9.97685,-84.73969,"(9.97685 , -84.73969)",Puntarenas,Zona del Puente 3 vías,Trabajo sexual,Trans femeninas,sitio externo
9.99725,-84.71649,"(9.99725 , -84.71649)",Puntarenas,Puente de la Subasta,Trabajo sexual,Trans femeninas,sitio externo
9.974695,-84.839534,"(9.974695 , -84.839534)",Puntarenas,Paseo de los turistas,Encuentro y ligue,HSH,sitio externo
9.61626,-84.62979,"(9.61626 , -84.62979)","Garabito, Jaco",Puente del Subway,Trabajo sexual,Trans femeninas,sitio externo
9.39646,-84.15837,"(9.39646 , -84.15837)","Aguirre, Quepos",Playa de Manuel Antonio,"Trabajo sexual, encuentro y ligue",HSH y trans femeninas,sitio externo
9.42387,-84.1685,"(9.42387 , -84.1685)","Aguirre, Quepos",Antiguo Hospital,"Trabajo sexual, encuentros sexuales",HSH y trans femeninas,sitio externo
9.43062,-84.16345,"(9.43062 , -84.16345)","Aguirre, Quepos",Terminal de buses en Quepos,Encuentro y ligue,HSH y trans femeninas,sitio externo
9.930423,-84.080188,"(9.930423 , -84.080188)",San José,D´Club,,HSH y trans femeninas,Bar y Discoteca
9.930036,-84.074189,"(9.930036 , -84.074189)",San José,Puchos,,HSH y trans femeninas,Bar y Discoteca
9.934636,-84.075765,"(9.934636 , -84.075765)",San José,Divergent VIP Club,,HSH y trans femeninas,"Disco, Bar y Restaurante"
9.929361,-84.074087,"(9.929361 , -84.074087)",San José,Bo Club,,HSH y trans femeninas,Bar y Discoteca
9.937733,-84.077044,"(9.937733 , -84.077044)",San José,Castilla,,HSH y trans femeninas,"Disco, Bar y Restaurante"
9.930169,-84.078414,"(9.930169 , -84.078414)",San José,La Avispa,,HSH y trans femeninas,Bar y Discoteca
9.927714,-84.075392,"(9.927714 , -84.075392)",San José,El 13,,HSH y trans femeninas,Bar
9.934579,-84.055141,"(9.934579 , -84.055141)",San Pedro de Montes de Oca,Club Venue,,HSH y trans femeninas,Bar y Discoteca
9.927496,-84.080372,"(9.927496 , -84.080372)",San José,Club El Teatro,,HSH y trans femeninas,Bar y Discoteca
9.93141,-84.08009,"(9.93141 , -84.08009)",San José,La Margot,,HSH y trans femeninas,Bar
9.938098,-84.079488,"(9.938098 , -84.079488)",San José,La Neva Zona Rosa,,HSH y trans femeninas,Bar y Discoteca
9.927755,-84.075903,"(9.927755 , -84.075903)",San José,El Oráculo,,HSH y trans femeninas,Organizador de eventos y fiestas
9.933922,-84.069491,"(9.933922 , -84.069491)",San José,Video Rexxx,,HSH,Video club
9.936659,-84.075129,"(9.936659 , -84.075129)",San José,Sauna París,,HSH y trans femeninas,Sauna
9.932065,-84.070188,"(9.932065 , -84.070188)",San José,Sauna Club Hispalis,,HSH,Sauna
9.927739,-84.075896,"(9.927739 , -84.075896)",San José,Buenas Vibraciones,,HSH y trans femeninas,Bar
9.930635,-84.075081,"(9.930635 , -84.075081)",San José,Cinema 2000,,HSH,Cine pornográfico
9.932147,-84.075277,"(9.932147 , -84.075277)",San José,Club One Two One,,HSH y trans femeninas,"Disco, Bar y Restaurante"
9.93535,-84.0915,"(9.93535 , -84.0915)",San José,Babel Lounge,,HSH y trans femeninas,Bar y Discoteca
9.93286,-84.0888,"(9.93286 , -84.0888)",San José,Oasis-Masajes Eróticos,,HSH,Sala de masajes eróticos
9.927324,-84.080373,"(9.927324 , -84.080373)",San José,100° Celsius Lounge,,HSH,"Sauna, Lounge"
10.018506,-84.214527,"(10.018506 , -84.214527)",Alajuela,Rick´s Bar,,HSH y trans femeninas,Bar y Discoteca
10.018993,-84.200232,"(10.018993 , -84.200232)",Alajuela,Noa Noa,,HSH y trans femeninas,Bar
10.002973,-84.209743,"(10.002973 , -84.209743)",Alajuela,Casa Vieja,,HSH y trans femeninas,"Bar, Restaurante"
9.408455,-84.157881,"(9.408455 , -84.157881)",Quepos,Karma Lounge,,HSH,Bar y Discoteca
9.39838,-84.15532,"(9.39838 , -84.15532)",Quepos,Bar Mogambo,,HSH,Bar
9.403425,-84.154139,"(9.403425 , -84.154139)",Quepos,Villa Roca,,HSH,"Hotel, Bar"
9.40677,-84.15805,"(9.40677 , -84.15805)",Quepos,Salsipuedes,,HSH,"Bar, Restaurante"
9.866258,-83.932262,"(9.866258 , -83.932262)",Cartago,La Nueva Atómica,,HSH y trans femeninas,Bar y Discoteca
9.865848,-83.920173,"(9.865848 , -83.920173)",Cartago,Donde Mati,,HSH y trans femeninas,Bar y Discoteca
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
0,0,,,,,,
